epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,88179.7,0.95432,1.45413,0.99313,0.01643,0.89599,0.77244,0.77266,0.81956,0.62891,0.77262,0.77288,0.81886,0.61554,0.57511,0.88989,0.50041,0.0148,0,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,89450.8,0.95022,1.44977,0.98587,0.01633,0.88183,0.78493,0.75615,0.81848,0.629,0.78511,0.75636,0.81775,0.61555,0.57398,0.89011,0.5017,0.01477,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,90447.3,0.95,1.44824,0.993,0.01644,0.88485,0.77106,0.77883,0.82012,0.63033,0.77123,0.77905,0.81938,0.61685,0.57271,0.88948,0.50093,0.01472,0,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,91442.4,0.94912,1.4452,0.9847,0.01637,0.88299,0.77846,0.77116,0.8206,0.63192,0.77863,0.77138,0.81987,0.61776,0.57436,0.88935,0.49752,0.01476,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,92436.6,0.9496,1.44346,0.98531,0.01632,0.88146,0.78734,0.77732,0.8257,0.63414,0.78751,0.77753,0.82498,0.62046,0.57452,0.8897,0.49336,0.01477,0,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,93429.8,0.94923,1.43742,0.97963,0.01634,0.86297,0.78645,0.77925,0.824,0.63388,0.78662,0.77947,0.82326,0.62052,0.57467,0.88972,0.49472,0.01476,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,94423.1,0.94393,1.43545,0.97089,0.01621,0.85551,0.78349,0.77516,0.82456,0.63478,0.78366,0.77537,0.82389,0.62039,0.57452,0.8898,0.49669,0.01475,0,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,95417.2,0.94656,1.44093,0.97942,0.01624,0.86166,0.79384,0.77309,0.82704,0.63584,0.79401,0.7733,0.82624,0.62116,0.57395,0.88953,0.49647,0.01473,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,96411.3,0.94627,1.44269,0.9679,0.01618,0.84279,0.79462,0.77316,0.82814,0.63817,0.79479,0.77337,0.82734,0.62261,0.57458,0.88946,0.49553,0.01474,0,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,97406,0.94162,1.43918,0.96776,0.01621,0.84732,0.79517,0.77625,0.82928,0.63886,0.79534,0.77646,0.82849,0.62603,0.57384,0.88884,0.49666,0.01472,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,98400.7,0.93949,1.43447,0.95186,0.01618,0.8274,0.79655,0.77389,0.83207,0.6462,0.79672,0.7741,0.83125,0.62809,0.57344,0.88838,0.48992,0.01472,0,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
